expression,reading,meaning,tags
ああ,ああ,"Ah!, Oh!",JLPT JLPT_4 JLPT_5 JLPT_N5
会う,あう,"to meet, to see",JLPT JLPT_3 JLPT_5 JLPT_N5
青,あお,blue,JLPT JLPT_5 JLPT_N5
青い,あおい,blue,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5
赤,あか,red,JLPT JLPT_5 JLPT_N5
赤い,あかい,red,Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5
明るい,あかるい,bright (in reference to personality or weather); cheerful,Genki Genki_Ln.18 Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_5 JLPT_N5
秋,あき,fall (season),Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5
開く,あく,"to open, to become open",JLPT JLPT_3 JLPT_5 JLPT_N5
開ける,あける,to open (v.t.),Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5
上げる,あげる,"to raise, to lift",JLPT JLPT_3 JLPT_5 JLPT_N5
朝,あさ,morning,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5
朝御飯,あさごはん,breakfast,Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5
明後日,あさって,day after tomorrow,JLPT JLPT_5 JLPT_N5
足; 脚,あし,foot; leg,JLPT JLPT_5 JLPT_N5
明日,あした,tomorrow,Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_3 JLPT_5 JLPT_N5
あそこ,あそこ,"there, over there, that place",Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,Genki Genki_Ln.6 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
暖かい,あたたかい,warm,JLPT_N5
頭,あたま,head,Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5
新しい,あたらしい,new,Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5
あちら,あちら,this way (polite),Genki Genki_Ln.20 JLPT JLPT_5 JLPT_N5
暑い,あつい,"hot (in reference to weather), warm",Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5
熱い,あつい,hot (objects),Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5
厚い,あつい,"kind, warm(hearted), thick, deep",JLPT JLPT_5 JLPT_N5
あっち,あっち,over there,JLPT JLPT_5 JLPT_N5
後,あと,afterwards (later); in the future; the rest; since then,Genki Genki_Ln.18 JLPT JLPT_2 JLPT_3 JLPT_5 JLPT_N5
あなた,あなた,you,Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5
兄,あに,(my) older brother (humble),Genki Genki_Ln.14 JLPT JLPT_5 JLPT_N5
姉,あね,(my) older sister (humble),Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5
アパート,アパート,apartment (abbr.),Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5
あの,あの,"that over there; like that, that way; um...",JLPT JLPT_4 JLPT_5 JLPT_N5
浴びる,あびる,"to bathe, to shower",JLPT JLPT_3 JLPT_5 JLPT_N5
危ない,あぶない,"dangerous, critical",Intermediate_Japanese Intermediate_Japanese_Ln.15 JLPT JLPT_5 JLPT_N5
甘い,あまい,"generous, sweet",Genki Genki_Ln.12 JLPT JLPT_5 JLPT_N5
余り,あまり,not very; surplus,JLPT JLPT_3 JLPT_5 JLPT_N5
雨,あめ,rain,Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5
飴,あめ,(hard) candy,JLPT JLPT_5 JLPT_N5
洗う,あらう,to wash,Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5
在る,ある,"to be, to have",JLPT JLPT_3 JLPT_5 JLPT_N5
有る,ある,"to be, to have",JLPT JLPT_3 JLPT_5 JLPT_N5
歩く,あるく,to walk,Genki Genki_Ln.20 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5
あれ,あれ,that one (over there),Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5
いい; よい,いい; よい,good,JLPT JLPT_5 JLPT_N5
いいえ,いいえ,"no, not at all",JLPT JLPT_5 JLPT_N5
